,书名,作者,评分,a,评价人数,b,简介
123,"失恋33天
","['鲍鲸鲸 ', ' 中信出版社 ', ' 2010-1 ', ' 25.00元\n']","8.1
","数：(
","                 34966人评价
","             )
","失恋是一种病，痊愈之后百毒不侵
"
124,"那些回不去的年少时光
","['桐华 ', ' 江苏文艺出版社 ', ' 2010-01 ', ' 23.80元\n']","8.5
","数：(
","                 32258人评价
","             )
","所有你曾热爱却正在遗忘的人和事
"
125,"我不喜欢这世界，我只喜欢你
","['乔一 ', ' 湖南少年儿童出版社 ', ' 2015-5-1 ', ' 29.80元\n']","8.0
","数：(
","                 32844人评价
","             )
","一想到能和你共度余生，我就对余生充满期待
"
126,"金锁记
","['张爱玲 ', ' 哈尔滨出版社 ', ' 2005-6 ', ' 13.5元\n']","8.5
","数：(
","                 32633人评价
","             )
","曹七巧就像希克厉，一个扭曲的英雄
"
127,"海贼王
","['尾田荣一郎 ', ' 董科 ', ' 浙江人民美术出版社 ', ' 2007-11 ', ' 7.50元\n']","9.5
","数：(
","                 28107人评价
","             )
","热血，梦想，希望
"
128,"历史深处的忧虑
","['林达 ', ' 生活・读书・新知三联书店 ', ' 1997-5 ', ' 19.00元\n']","9.0
","数：(
","                 29747人评价
","             )
","窥见美国社会的一扇窗
"
129,"菊与刀
","['（美）鲁思99本尼迪克特 ', ' 吕万和 ', ' 商务印书馆 ', ' 1990-6 ', ' 16.00\n']","8.2
","数：(
","                 33173人评价
","             )
","复杂矛盾的日本民族
"
130,"悲惨世界（上中下）
","['[法] 雨果 ', ' 李丹 ', ' 人民文学出版社 ', ' 1992-6 ', ' 66.00元\n']","8.9
","数：(
","                 29597人评价
","             )
","现实主义与浪漫主义的至高杰作
"
131,"球状闪电
","['刘慈欣 ', ' 四川科学技术出版社 ', ' 2005-6 ', ' 22.00元\n']","8.7
","数：(
","                 30543人评价
","             )
","量子之外，没有真相
"
132,"鹿鼎记（全五册）
","['金庸 ', ' 广州出版社 花城出版社 ', ' 2008-3 ', ' 108.00元\n']","8.8
","数：(
","                 30067人评价
","             )
","武侠的解构，流氓的狂欢
"
133,"史蒂夫・乔布斯传
","['[美] 沃尔特・艾萨克森 ', ' 管延圻 ', ' 中信出版社 ', ' 2011-10-24 ', ' 68.00元\n']","8.7
","数：(
","                 30304人评价
","             )
","完美主义者的最高形态
"
134,"大地之灯
","['七堇年 ', ' 长江文艺出版社 ', ' 2007-1 ', ' 22.00元\n']","8.2
","数：(
","                 31921人评价
","             )
","两代人的成长与救赎
"
135,"东霓
","['笛安 ', ' 长江文艺出版社 ', ' 2010-7-1 ', ' 26.80元\n']","8.1
","数：(
","                 32210人评价
","             )
","自毁而偏执的东霓
"
136,"长恨歌
","['王安忆 ', ' 南海出版公司 ', ' 2003-8 ', ' 22.00元\n']","8.2
","数：(
","                 32079人评价
","             )
","现代上海史诗
"
137,"你一定爱读的极简欧洲史
","['约翰・赫斯特（John Hirst） ', ' 席玉苹 ', ' 广西师范大学出版社 ', ' 2011-11-25 ', ' 25.00元\n']","8.2
","数：(
","                 31451人评价
","             )
","欧洲，为什么老是抢第一？
"
138,"查令十字街84号
","['[美] 海莲・汉芙 ', ' 陈建铭 ', ' 译林出版社 ', ' 2005-05-01 ', ' 18.00元\n']","8.3
","数：(
","                 30723人评价
","             )
","文艺青年的爱情地标
"
139,"飞鸟集
","['[印] 罗宾德拉纳德・泰戈尔 ', ' 徐翰林 ', ' 哈尔滨出版社 ', ' 2004-6 ', ' 16.80元\n']","8.8
","数：(
","                 28215人评价
","             )
","淡泊，超脱
"
140,"香水
","['[德] 帕・聚斯金德 ', ' 李清华 ', ' 上海译文出版社 ', ' 2005-5 ', ' 20.00元\n']","8.5
","数：(
","                 29161人评价
","             )
","恋味癖谋杀案
"
141,"看不见的城市
","['[意大利]伊塔洛・卡尔维诺 ', ' 张宓 ', ' 译林出版社 ', ' 2006-8 ', ' 16.00元\n']","8.8
","数：(
","                 28201人评价
","             )
","每一座城市都只在想象中耸立，又在描述中坍圮
"
142,"一九八四・动物农场
","['[英] 乔治・奥威尔 ', ' 董乐山 ', ' 上海译文出版社 ', ' 2003-4 ', ' 23.00元\n']","9.3
","数：(
","                 26349人评价
","             )
","一个预言和一个寓言，令人窒息的政治恐怖
"
143,"橙
","['安东尼 ', ' 长江文艺出版社 ', ' 2010-10 ', ' 28.80元\n']","8.2
","数：(
","                 29605人评价
","             )
","定做一个刻着“不过如此”的章，盖在封面上
"
144,"富爸爸，穷爸爸
","['（美）罗伯特99T99清崎 ', ' 杨君，杨明 ', ' 世界图书出版公司 ', ' 2000-09 ', ' 18.80\n']","8.2
","数：(
","                 29517人评价
","             )
","人穷穷观念，人富钱生钱
"
145,"伊豆的舞女
","['[日] 川端康成 ', ' 叶渭渠 ', ' 广西师范大学出版社 ', ' 2002-2 ', ' 23.80元\n']","8.2
","数：(
","                 29925人评价
","             )
","静美又残酷，无限柔软的川端
"
146,"倚天屠龙记(共四册)
","['金庸 ', ' 三联书店 ', ' 1999-04 ', ' 0\n']","8.5
","数：(
","                 28168人评价
","             )
","不识张郎是张郎
"
147,"杀死一只知更鸟
","['[美] 哈珀・李 ', ' 高红梅 ', ' 译林出版社 ', ' 2012-9 ', ' 32.00元\n']","9.2
","数：(
","                 25928人评价
","             )
","有一种东西不能遵循从众原则，那就是――人的良心
"
148,"朝花夕拾
","['鲁迅 ', ' 人民文学出版社 ', ' 1972年4月 ', ' 0.25元\n']","8.7
","数：(
","                 27651人评价
","             )
","鲁迅的旧事重提
"
149,"影响力
","['[美] 罗伯特・西奥迪尼 ', ' 陈叙 ', ' 中国人民大学出版社 ', ' 2006-5 ', ' 45.00元\n']","8.6
","数：(
","                 27688人评价
","             )
","营销防骗指南
"
150,"匆匆那年（上下）
","['九夜茴 ', ' 东方出版社 ', ' 2008-1 ', ' 29.00\n']","8.3
","数：(
","                 29021人评价
","             )
","不悔梦归处 只恨太匆匆
"
151,"江城
","['[美] 彼得・海斯勒 ', ' 李雪顺 ', ' 上海译文出版社 ', ' 2012-1 ', ' 36.00元\n']","9.0
","数：(
","                 26426人评价
","             )
","外国人的寻路中国
"
152,"中国历代政治得失
","['钱穆 ', ' 生活・读书・新知三联书店 ', ' 2001 ', ' 12.00元\n']","9.1
","数：(
","                 25956人评价
","             )
","一部简明的“中国政治制度史”
"
153,"世界尽头与冷酷仙境
","['[日] 村上春树 ', ' 林少华 ', ' 上海译文出版社 ', ' 2002-12 ', ' 23.00元\n']","8.6
","数：(
","                 28006人评价
","             )
","交叉平行蒙太奇
"
154,"把时间当作朋友
","['李笑来 ', ' 电子工业出版社 ', ' 2009-6 ', ' 32.00元\n']","8.5
","数：(
","                 28152人评价
","             )
","反成功学的成功学
"
155,"往事并不如烟
","['章诒和 ', ' 人民文学出版社 ', ' 2004-1 ', ' 35.00元\n']","8.6
","数：(
","                 27479人评价
","             )
","知识分子的命运浮沉
"
156,"冰与火之歌（卷一）
","['[美] 乔治・R. R. 马丁 ', ' 谭光磊 ', ' 重庆出版社 ', ' 2005-5 ', ' 68.00元\n']","9.3
","数：(
","                 24940人评价
","             )
","凛冬将至。无比宏大的世界观
"
157,"红与黑
","['斯丹达尔 ', ' 张冠尧 ', ' 译林出版社 ', ' 1993-7-1 ', ' 20.00元\n']","8.2
","数：(
","                 28642人评价
","             )
","阴谋与爱情
"
158,"时间简史
","['[英] 史蒂芬・霍金 ', ' 许明贤 ', ' 湖南科学技术出版社 ', ' 2010-4 ', ' 45.00元\n']","8.8
","数：(
","                 26057人评价
","             )
","霍金与上帝的战争
"
159,"七夜雪
","['沧月 ', ' 北京十月文艺出版社 ', ' 2006-10 ', ' 25.00元\n']","8.4
","数：(
","                 26991人评价
","             )
","抵不过时间
"
160,"那些年，我们一起追的女孩
","['九把刀 ', ' 花山文艺出版社 ', ' 2007-1 ', ' 20.00元\n']","8.2
","数：(
","                 27997人评价
","             )
","那些年错过的大雨
"
161,"ZOO
","['[日] 乙一 ', ' 李颖秋 ', ' 当代世界出版社 ', ' 2007-10 ', ' 20.00元\n']","8.6
","数：(
","                 26462人评价
","             )
","噩梦中的一丝温度
"
162,"水浒传（全二册）
","['[明] 施耐庵 ', ' 人民文学出版社 ', ' 1997-1 ', ' 50.60元\n']","8.5
","数：(
","                 26382人评价
","             )
","风风火火闯九州
"
163,"蔷薇岛屿
","['安妮宝贝 ', ' 作家出版社 ', ' 2002-8 ', ' 18.00元\n']","8.0
","数：(
","                 28384人评价
","             )
","你们不会彼此遗忘。只会彼此消失
"
164,"阿狸・梦之城堡
","['hans ', ' 上海锦绣文章出版社 ', ' 2009-1 ', ' 36.80元\n']","9.0
","数：(
","                 24893人评价
","             )
","治愈
"
165,"天使与魔鬼
","['[美] 丹.布朗 ', ' 朱振武 ', ' 人民文学出版社 ', ' 2005-2 ', ' 29.80元\n']","8.2
","数：(
","                 27433人评价
","             )
","科学与宗教的大乱斗
"
166,"陆犯焉识
","['严歌苓 ', ' 作家出版社 ', ' 2011-10 ', ' 35.00元\n']","8.8
","数：(
","                 25072人评价
","             )
","翻手为苍凉，覆手为繁华
"
167,"最好的我们
","['八月长安 ', ' 湖南文艺出版社 ', ' 2013-8-5 ', ' 55\n']","8.8
","数：(
","                 24471人评价
","             )
","耿耿余淮
"
168,"雷雨
","['曹禺 ', ' 人民文学出版社 ', ' 1999-05 ', ' 9.20\n']","8.5
","数：(
","                 25958人评价
","             )
","人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
"
169,"最初的爱情 最后的仪式
","['[英] 伊恩・麦克尤恩 ', ' 潘帕 ', ' 南京大学出版社 ', ' 2010-2 ', ' 22.00元\n']","8.0
","数：(
","                 27603人评价
","             )
","别被封面骗了
"
170,"西游记（全二册）
","['吴承恩 ', ' 黄肃秋 注释 ', ' 人民文学出版社 ', ' 2004-8 ', ' 47.20元\n']","8.8
","数：(
","                 24764人评价
","             )
","取经之路就在脚下
"
171,"瓦尔登湖
","['[美] 梭罗 ', ' 徐迟 ', ' 上海译文出版社 ', ' 2006-8 ', ' 11.00元\n']","8.4
","数：(
","                 26184人评价
","             )
","另一种生活
"
172,"国境以南 太阳以西
","['[日] 村上春树 ', ' 林少华 ', ' 上海译文出版社 ', ' 2001-8 ', ' 13.50元\n']","8.3
","数：(
","                 26341人评价
","             )
","灾星下出生的恋人们
"
173,"自控力
","['[美]  凯利・麦格尼格尔 ', ' 王岑卉 ', ' 文化发展出版社(原印刷工业出版社) ', ' 2012-8 ', ' 39.80元\n']","8.3
","数：(
","                 25990人评价
","             )
","要么瘦，要么死
"
174,"海底两万里
","['[法国] 儒尔・凡尔纳 ', ' 沈国华 ', ' 译林出版社 ', ' 2002-9 ', ' 19.50元\n']","8.4
","数：(
","                 25377人评价
","             )
","你听说过鹦鹉螺号吗？
"
175,"佛祖在一号线
","['李海鹏 ', ' 文化艺术出版社 ', ' 2010-6 ', ' 25.00元\n']","8.2
","数：(
","                 25877人评价
","             )
","嬉笑怒骂的常识分子
"
176,"生活在别处
","['[捷克] 米兰・昆德拉 ', ' 袁筱一 ', ' 上海译文出版社 ', ' 2004-5 ', ' 25.00元\n']","8.4
","数：(
","                 25384人评价
","             )
","此处的生活唯有残酷
"
177,"狂人日记
","['鲁迅 ', ' 京华出版社 ', ' 2006-3 ', ' 39.80元\n']","8.7
","数：(
","                 24162人评价
","             )
","中国现代文学史上第一篇真正的现代白话小说
"
178,"夏洛的网
","['[美] E.B.怀特 ', ' 任溶溶 ', ' 上海译文出版社 ', ' 2004-5 ', ' 17.00元\n']","8.5
","数：(
","                 24453人评价
","             )
","猪与蜘蛛
"
179,"你今天真好看
","['[美]莉兹61克里莫 ', ' 周高逸 ', ' 雅众文化', '天津人民出版社 ', ' 2015-8 ', ' 39.00元\n']","8.7
","数：(
","                 24038人评价
","             )
","呆萌可爱的动物段子手
"
180,"京华烟云
","['林语堂 ', ' 张振玉 ', ' 陕西师范大学出版社 ', ' 2005-7 ', ' 43.00元\n']","8.5
","数：(
","                 24435人评价
","             )
","林语堂的《红楼梦》
"
181,"心是孤独的猎手
","['[美] 卡森・麦卡勒斯 ', ' 陈笑黎 ', ' 上海三联书店 ', ' 2005-8 ', ' 25.00元\n']","8.5
","数：(
","                 24341人评价
","             )
","镇上有两个哑巴，他们总是在一起。
"
182,"变形记
","['[奥] 卡夫卡 ', ' 叶廷芳 ', ' 浙江文艺出版社 ', ' 2003-4 ', ' 16.00元\n']","8.4
","数：(
","                 24762人评价
","             )
","格里高里清早醒来发现自己变成了甲虫
"
183,"设计中的设计
","['[日] 原研哉 ', ' 朱锷 ', ' 山东人民出版社 ', ' 2006-11 ', ' 48.00元\n']","8.6
","数：(
","                 23764人评价
","             )
","日常生活的无限可能性
"
184,"没有色彩的多崎作和他的巡礼之年
","['[日] 村上春树 ', ' 施小炜 ', ' 南海出版公司 ', ' 2013-10-1 ', ' 39.50元\n']","8.2
","数：(
","                 24675人评价
","             )
","并不是一切都消失在了时间的长河里
"
185,"我执
","['梁文道 ', ' 广西师范大学出版社 ', ' 2010-10 ', ' 35.00元\n']","8.0
","数：(
","                 25513人评价
","             )
","梁文道的私密日记
"
186,"呼兰河传
","['萧红 ', ' 百花文艺出版社 ', ' 2005-01 ', ' 19.00\n']","8.9
","数：(
","                 22591人评价
","             )
","萧红的童年往事
"
187,"偷书贼
","['[澳] 马克斯・苏萨克 ', ' 孙张静 ', ' 南海出版公司 ', ' 2007-8 ', ' 25.00元\n']","8.0
","数：(
","                 25003人评价
","             )
","不能说偷，是窃，窃你懂吗
"
188,"激荡三十年（上）
","['吴晓波 ', ' 中信出版社 浙江人民出版社 ', ' 2007-1 ', ' 35.00\n']","8.8
","数：(
","                 22405人评价
","             )
","这是一个最好的时代，也是一个最坏的时代
"
189,"文学回忆录（全2册）
","['木心 讲述 ', ' 广西师范大学出版社 ', ' 2013-1-10 ', ' 98.00元\n']","9.2
","数：(
","                 21456人评价
","             )
","木心留给世界的礼物
"
190,"人性的弱点全集
","['[美] 戴尔・卡耐基 ', ' 袁玲 ', ' 中国发展出版社 ', ' 2008-1 ', ' 25.00元\n']","8.3
","数：(
","                 23757人评价
","             )
","西方世界最持久的人文畅销书
"
191,"一句顶一万句
","['刘震云 ', ' 长江文艺出版社 ', ' 2009-3 ', ' 29.80\n']","8.7
","数：(
","                 22489人评价
","             )
","一句胜过千年
"
192,"我与地坛
","['史铁生 ', ' 春风文艺出版社 ', ' 2002-5 ', ' 25.00元\n']","9.0
","数：(
","                 21538人评价
","             )
","这是你的罪孽与福祉
"
193,"人生
","['路遥 ', ' 北京十月文艺出版社 ', ' 2009-5 ', ' 20.00元\n']","8.4
","数：(
","                 22820人评价
","             )
","如果你是高加林，你要如何选择？
"
194,"浮生六记
","['（清）沈复 ', ' 人民文学出版社 ', ' 1999', '1 ', ' 5.70元\n']","8.9
","数：(
","                 21820人评价
","             )
","布衣菜饭可乐终身
"
195,"尼罗河上的惨案
","['[英] 阿加莎・克里斯蒂 ', ' 宫英海 ', ' 人民文学出版社 ', ' 2006-5 ', ' 22.00元\n']","8.7
","数：(
","                 22083人评价
","             )
","阿婆代表作之一
"
196,"九州・缥缈录
","['江南 ', ' 新世界出版社 ', ' 2005-6 ', ' 20.00元\n']","8.8
","数：(
","                 21250人评价
","             )
","乱世的英雄史诗
"
197,"我的精神家园
","['王小波 ', ' 文化艺术出版社 ', ' 1997 ', ' 18.80元\n']","9.1
","数：(
","                 20200人评价
","             )
","活过，爱过，写过
"
198,"占星术杀人魔法
","['[日] 岛田庄司 ', ' 王鹏帆 ', ' 新星出版社 ', ' 2008-9 ', ' 28.00\n']","8.3
","数：(
","                 21758人评价
","             )
","一桩占星术连续杀人案件
"
199,"妻妾成群
","['苏童 ', ' 上海文艺出版社 ', ' 2004-8 ', ' 23.00元\n']","8.2
","数：(
","                 22278人评价
","             )
","暂无
"
200,"浪潮之巅
","['吴军 ', ' 电子工业出版社 ', ' 2011-8 ', ' 55.00元\n']","9.1
","数：(
","                 19796人评价
","             )
","了解IT领域的入门读物
"
201,"野火集
","['龙应台 ', ' 文汇出版社 ', ' 2005-8 ', ' 25.00元\n']","8.8
","数：(
","                 20502人评价
","             )
","中国人你为什么不生气？
"
202,"舞！舞！舞！
","['[日] 村上春树 ', ' 林少华 ', ' 上海译文出版社 ', ' 2002-6 ', ' 25.00元\n']","8.3
","数：(
","                 21740人评价
","             )
","深入村上春树的心灵腹地
"
203,"高效能人士的七个习惯（精华版）
","['[美] 史蒂芬・柯维 ', ' 高新勇 ', ' 中国青年出版社 ', ' 2011-6 ', ' 29.00元\n']","8.2
","数：(
","                 21159人评价
","             )
","暂无
"
204,"项链
","['[法] 莫泊桑 ', ' 顾加琛 等 ', ' 河北教育出版社 ', ' 2005-2 ', ' 28.00元\n']","8.3
","数：(
","                 21032人评价
","             )
","暂无
"
205,"未来简史
","['[以色列] 尤瓦尔・赫拉利 ', ' 林俊宏 ', ' 中信出版社 ', ' 2017-1 ', ' 68\n']","8.4
","数：(
","                 20297人评价
","             )
","暂无
"
206,"海子的诗
","['海子 ', ' 人民文学出版社 ', ' 1999-04 ', ' 15.40\n']","8.9
","数：(
","                 19270人评价
","             )
","暂无
"
207,"教父
","['[美]马里奥・普佐 ', ' 周汉林 ', ' 译林出版社 ', ' 1997-8 ', ' 23.30元\n']","9.0
","数：(
","                 18913人评价
","             )
","暂无
"
208,"娱乐至死
","['[美] 尼尔・波兹曼 ', ' 章艳 ', ' 广西师范大学出版社 ', ' 2011-6 ', ' 29.80元\n']","8.5
","数：(
","                 20083人评价
","             )
","暂无
"
209,"父与子全集
","['[德] 埃・奥・卜劳恩 绘 ', ' 杨莹 ', ' 中国工人出版社 ', ' 2003-4 ', ' 20.00元\n']","9.2
","数：(
","                 18349人评价
","             )
","暂无
"
210,"斯通纳
","['[美] 约翰・威廉斯 ', ' 杨向荣 ', ' 世纪文景', '上海人民出版社 ', ' 2016-1 ', ' 39.00元\n']","8.8
","数：(
","                 18870人评价
","             )
","暂无
"
211,"动物凶猛
","['王朔 ', ' 中国电影出版社 ', ' 2004-2 ', ' 15.5\n']","8.3
","数：(
","                 20347人评价
","             )
","暂无
"
212,"芳华
","['严歌苓 ', ' 人民文学出版社 ', ' 2017-4 ', ' 39.00元\n']","8.1
","数：(
","                 20544人评价
","             )
","暂无
"
213,"观念的水位
","['刘瑜 ', ' 浙江大学出版社 ', ' 2013-1 ', ' 36.00元\n']","8.3
","数：(
","                 20121人评价
","             )
","暂无
"
214,"罗杰疑案
","['[英] 阿加莎・克里斯蒂 ', ' 张江云 ', ' 人民文学出版社 ', ' 2006-5 ', ' 21.00元\n']","8.9
","数：(
","                 18493人评价
","             )
","暂无
"
215,"子不语1
","['夏达 ', ' 新世纪出版社 ', ' 2009-12 ', ' RMB36.00\n']","9.0
","数：(
","                 18073人评价
","             )
","暂无
"
216,"巨流河
","['齐邦媛 ', ' 生活・读书・新知三联书店 ', ' 2010-10 ', ' 39.00元\n']","8.7
","数：(
","                 18985人评价
","             )
","暂无
"
217,"中国大历史
","['黄仁宇 ', ' 生活・读书・新知三联书店 ', ' 2007-2 ', ' 19.00元\n']","8.3
","数：(
","                 20085人评价
","             )
","暂无
"
218,"小姨多鹤
","['严歌苓 ', ' 作家出版社 ', ' 2008-4 ', ' 28.00元\n']","8.6
","数：(
","                 19244人评价
","             )
","暂无
"
219,"人间词话
","['王国维 ', ' 上海古籍出版社 ', ' 1998-12-01 ', ' 9.80元\n']","9.0
","数：(
","                 18218人评价
","             )
","暂无
"
220,"第一炉香
","['张爱玲 ', ' 花城出版社 ', ' 1997-3 ', ' 11.5\n']","8.4
","数：(
","                 19728人评价
","             )
","暂无
"
221,"寻羊冒险记
","['[日] 村上春树 ', ' 林少华 ', ' 上海译文出版社 ', ' 2001-8 ', ' 18.80元\n']","8.1
","数：(
","                 20268人评价
","             )
","暂无
"
222,"带一本书去巴黎
","['林达 ', ' 生活・读书・新知三联书店 ', ' 2002-5 ', ' 35.00元\n']","8.5
","数：(
","                 19127人评价
","             )
","暂无
"
223,"爱的艺术
","['[美] 艾・弗洛姆 ', ' 李健鸣 ', ' 上海译文出版社 ', ' 2008-4 ', ' 15.00元\n']","8.8
","数：(
","                 18380人评价
","             )
","暂无
"
224,"夹边沟记事
","['杨显惠 ', ' 花城出版社 ', ' 2008-09 ', ' 34.00元\n']","9.2
","数：(
","                 17419人评价
","             )
","暂无
"
225,"罗生门
","['[日]芥川龙之介 ', ' 林少华 ', ' 上海译文出版社 ', ' 2008-7 ', ' 12.00元\n']","8.7
","数：(
","                 18594人评价
","             )
","暂无
"
226,"面纱
","['[英] W.萨默塞特・毛姆 ', ' 阮景林 ', ' 重庆出版社 ', ' 2012-5 ', ' 32.00元\n']","8.7
","数：(
","                 18323人评价
","             )
","暂无
"
227,"退步集
","['陈丹青 ', ' 广西师范大学出版社 ', ' 2005-1 ', ' 38.00元\n']","8.1
","数：(
","                 19631人评价
","             )
","暂无
"
228,"一千零一夜
","['纳训 ', ' 人民文学出版社 ', ' 2003-01 ', ' 22.0\n']","8.6
","数：(
","                 18472人评价
","             )
","暂无
"
229,"云中歌1
","['桐华 ', ' 作家出版社 ', ' 2007-9 ', ' 24.80元\n']","8.1
","数：(
","                 19383人评价
","             )
","暂无
"
230,"台北人
","['白先勇 ', ' 广西师范大学出版社 ', ' 2010-10 ', ' 38.00元\n']","8.9
","数：(
","                 17508人评价
","             )
","暂无
"
231,"来不及说我爱你
","['匪我思存 ', ' 新世界出版社 ', ' 2006-9 ', ' 20.00元\n']","8.1
","数：(
","                 19223人评价
","             )
","暂无
"
232,"雨季不再来
","['三毛 ', ' 北京十月文艺出版社 ', ' 2007-7 ', ' 28.00元\n']","8.7
","数：(
","                 17915人评价
","             )
","暂无
"
233,"万水千山走遍
","['三毛 ', ' 哈尔滨出版社 ', ' 2003-08 ', ' 13.80\n']","8.8
","数：(
","                 17533人评价
","             )
","暂无
"
234,"相约星期二
","['[美] 米奇・阿尔博姆 ', ' 吴洪 ', ' 上海译文出版社 ', ' 2007-7 ', ' 19.00元\n']","8.4
","数：(
","                 18398人评价
","             )
","暂无
"
235,"白银时代
","['王小波 ', ' 花城出版社 ', ' 1997-5 ', ' 10.00元\n']","8.4
","数：(
","                 18564人评价
","             )
","暂无
"
236,"哈姆莱特
","['[英] 莎士比亚 ', ' 朱生豪 ', ' 人民文学出版社 ', ' 2001-1 ', ' 7.00元\n']","8.5
","数：(
","                 18168人评价
","             )
","暂无
"
237,"可爱的洪水猛兽
","['韩寒 ', ' 万卷出版公司 ', ' 2009-08-01 ', ' 25.00元\n']","8.1
","数：(
","                 19079人评价
","             )
","暂无
"
238,"告白
","['佳苗 ', ' 丁世佳 ', ' r笪幕 ', ' 2009年8月31日 ', ' NT$250\n']","8.6
","数：(
","                 17607人评价
","             )
","暂无
"
239,"琅琊榜
","['海宴 ', ' 朝华出版社 ', ' 2007-12 ', ' 49.80元\n']","8.5
","数：(
","                 17249人评价
","             )
","暂无
"
240,"枪炮、病菌与钢铁
","['[美] 贾雷德・戴蒙德 ', ' 谢延光 ', ' 上海世纪出版集团 ', ' 2006-4-1 ', ' 45.00元\n']","8.8
","数：(
","                 17117人评价
","             )
","暂无
"
241,"月亮与六便士
","['[英] 威廉・萨默塞特・毛姆 ', ' 徐淳刚 ', ' 浙江文艺出版社 ', ' 2017-1-1 ', ' 39.80元\n']","8.8
","数：(
","                 17737人评价
","             )
","暂无
"
242,"雾都孤儿
","['[英]狄更斯 ', ' 荣如德 ', ' 上海译文出版社 ', ' 1991-7 ', ' 10.10元\n']","8.1
","数：(
","                 18660人评价
","             )
","暂无
"
243,"红拂夜奔
","['王小波 ', ' 江苏文艺出版社 ', ' 2005-1 ', ' 28.00元\n']","8.6
","数：(
","                 17211人评价
","             )
","暂无
"
244,"朗读者
","['[德] 本哈德・施林克 ', ' 钱定平 ', ' 译林出版社 ', ' 2009-2 ', ' 22.00\n']","8.3
","数：(
","                 17815人评价
","             )
","暂无
"
245,"后宫・甄执Ⅰ
","['流潋紫 ', ' 花山文艺出版社 ', ' 2007-2 ', ' 22.00元\n']","8.0
","数：(
","                 18521人评价
","             )
","暂无
"
246,"星空
","['酌 ', ' 大K文化 ', ' 2009-5-1 ', ' NT369\n']","9.0
","数：(
","                 16221人评价
","             )
","暂无
"
247,"新参者
","['[日] 东野圭吾 ', ' 岳远坤 ', ' 南海出版公司 ', ' 2011-9 ', ' 28.00元\n']","8.4
","数：(
","                 17643人评价
","             )
","暂无
"
248,"阿麦从军：全新修订版
","['鲜橙 ', ' 作家出版社 ', ' 2017-8-1 ', ' 108.00元\n']","8.9
","数：(
","                 15167人评价
","             )
","暂无
"
249,"深夜食堂 01
","['[日] 安倍夜郎 ', ' 陈颖 ', ' 湖南文艺出版社 ', ' 2013-1 ', ' 25.00元\n']","9.1
","数：(
","                 15696人评价
","             )
","暂无
"
